CATEGORY,SUB CATEGORY,UNIT,DESIGNATION,NAME,VPN,MOBILE1,MOBILE2,STD,LANDLINE1,LANDLINE2, FAX,EMAIL,ADDRESS
CATEGORY,SPECIAL BRANCH CID        ,,SP [Int.],,10050,94979 96962,,0471 ,2440921,,,,
CATEGORY,SPECIAL BRANCH CID        ,,SP [Int.Sec],,10051,94979 96960,,0471 ,2550221,,,,
CATEGORY,SPECIAL BRANCH CID        ,,SP [Sec.],,10052,,,0471 ,2316897,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Dy SP [Admn.],,10053,94979 90151 ,,0471 ,2550404,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Dy SP [Int.],,10054,94979 90152,,0471 ,2445474,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Dy SP [Int.Sec.],,,94979 90154,,0471 ,2445474,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Dy SP [Foreigners],,10055,94979 90153 ,,0471 ,2315295,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Dy SP [Passport],,,94979 90159 ,,0471 ,2315295,,,,
CATEGORY,SPECIAL BRANCH CID        ,,SPMR,,17000,,,0471 ,2556699,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Dy SP [SPMR],,17001,94979 90158,,0471 ,2556600,,2441818,,
CATEGORY,SPECIAL BRANCH CID        ,,Dy SP [Extremist Cell],,10054,94979 90157,,0471 ,2445474,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Dy SP [Communal Cell],,10054,94979 90156,,0471 ,2445474,,,,
CATEGORY,SPECIAL BRANCH CID        ,,DC Sec/Sec.Cntrl. Room,,17003,94979 90312,,0471 ,2314123,,2316201,,
CATEGORY,SPECIAL BRANCH CID        ,,DC [Sec.Offr. Rajbhavan],,17004,94979 90313 ,,0471,2728741,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Dy SP Digital Surveillance Unit (DSU)   ,,, 94979 90311                 ,,,,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Dy SP DSDB (Digital Security and Data Bank),,,94979 64467 ,,,,,,,
CATEGORY,SPECIAL BRANCH CID        ,,BDDS,,10019,94979 87474,,0471 ,2721547,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Administrative Inspector,,10053,94979 87234 ,,0471 ,2550404,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Director SHB,,17012,94979 76052,,0471 ,2445437,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Sr.AA [Administration],,17012,94979 65352,,0471 ,2445437,,,,
CATEGORY,SPECIAL BRANCH CID        ,,SBCID Admn Office...,,,,,0471 ,2558185,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Computer Wing ,,17011,,,0471 ,2447667,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Chief Photographer,,,94979 65420,,,,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Reception,,17011,,,0471 ,2447667,,,,
CATEGORY,SPECIAL BRANCH CID        ,,SB CID EPBAX,,17011,,,0471 ,2447667,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Security Control Room,,17003,,,0471 ,2314123,,,,
CATEGORY,SPECIAL BRANCH CID        ,,Security Control Room,,19027,,,0471,2316201,,,,
CATEGORY,SPECIAL BRANCH CID        ,,LAI Cell...,,,,,0471,2444042,,,,
CATEGORY,,SPL. BRANCH TRIVANDRUM RANGE ,SP TVPM Range,,17017,94979 96958,,0471 ,2308468,,,,
CATEGORY,,SPL. BRANCH TRIVANDRUM RANGE ,Dy SP Int.Sec.,,17017,94979 90155,,,,,,,
CATEGORY,,SPL. BRANCH TRIVANDRUM RANGE ,Dy SP TVPM City Dett.,,17018,94979 90161,,0471 ,2309446,,,,
CATEGORY,,SPL. BRANCH TRIVANDRUM RANGE ,SBI TVPM City Dett.,,17018,94979 87235,,0471 ,2309446,,,,
CATEGORY,,SPL. BRANCH TRIVANDRUM RANGE ,Dy SP TVPM Rural Dett,,17019,94979 90162,,0471 ,2303296,,,,
CATEGORY,,SPL. BRANCH TRIVANDRUM RANGE ,SBI TVPM Rural Dett.,,17019,94979 87236,,0471 ,2303296,,,,
CATEGORY,,SPL. BRANCH TRIVANDRUM RANGE ,Dy SP Kollam Dett.,,17020,94979 90163,,0474 ,2742189,,,,
CATEGORY,,SPL. BRANCH TRIVANDRUM RANGE ,SBI Kollam Dett.,,17020,94979 87237,,0474 ,2742189,,,,
CATEGORY,,SPL. BRANCH TRIVANDRUM RANGE ,Dy SP PTA Dett.       ,,17021,94979 90164,,0468,2222982,,,,
CATEGORY,,SPL. BRANCH TRIVANDRUM RANGE ,SBI PTA Dett. (Adoor),,,94979 87238,,,,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,SP EKM Range,,17040,94979 96957 ,,0484 ,2780635,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,Dy SP Int.Sec,,17041,94979 90169,,0484 ,2785711,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,Dy SP  Alappuzha Dett.,,17023,94979 90165,,0477 ,2251631,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,SBI Alappuzha Dett.,,17023,94979 87239,,0477 ,2251631,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,SBI Alappuzha Dett.(Chenganoor),,,94979 87240,,,,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,"Dy SP, Kottayam Dett.",,17024,94979 90166,,0481 ,2575048,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,SBI Kottayam Dett.,,,94979 87242,,,,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,SBI Kottayam (Pala),,17024,94979 87241,,0481,2575048,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,Dy SP Idukki  Dett ,,17025,9497990167,,0486,2226994,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,"DySP, SBI Idukki Dett. (Thodupuzha)",,,94979 87243,,,,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,Dy SP EKM City Dett.,,17041,94979 90168,,0484 ,2785711,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,SBI EKM City,,17041,94979 87245,,0484 ,2785711,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,BDDS,,17040,94979 81281,,0484 ,2780635,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,Dy SP EKM Rural Dett,,17028,94979 90171 ,,0485 ,2834199,,,,
CATEGORY,,SPL. BRANCH ERNAKULAM RANGE ,SBI Aluva Dett.(EKM Rural)    ,,,94979 87244,,,,,,,
CATEGORY,,SPL. BRANCH THRISSUR  RANGE ,SP ,,17029,9497996956,,0487,2427743,,,,
CATEGORY,,SPL. BRANCH THRISSUR  RANGE ,Dy SP Int.Sec,,,9497990175,,,,,,,
CATEGORY,,SPL. BRANCH THRISSUR  RANGE ,Dy SP Int.Sec,,,9497964643,,,,,,,
CATEGORY,,SPL. BRANCH THRISSUR  RANGE ,Dy SP Int.Sec,,,9497964644,,,,,,,
CATEGORY,,SPL. BRANCH THRISSUR  RANGE ,BDDS,,17029,9497965449,,0487,2427743,,,,
CATEGORY,,SPL. BRANCH THRISSUR  RANGE ,Dy SP Thrissur,,17030,9497990174,,0487,2421588,,,,
CATEGORY,,SPL. BRANCH THRISSUR  RANGE ,SBI Thrissur Dett,,17030,9497987246,,2487,2421588,,,,
CATEGORY,,SPL. BRANCH THRISSUR  RANGE ,SBI Thrissur Dett.(Iringalakuda),,,9497987247,,,,,,,
CATEGORY,,SPL. BRANCH PALAKKAD RANGE ,Dy SP Palakkad,,17031,9497990176,,0491,2537277,,,,
CATEGORY,,SPL. BRANCH PALAKKAD RANGE ,SBI Palakkad,,17031,9497987249,,0491,2537277,,,,
CATEGORY,,SPL. BRANCH PALAKKAD RANGE ,SBI Palakkad Dett.,,17031,9497987248,,0491,2537277,,,,
CATEGORY,,SPL. BRANCH MALAPPURAM RANGE ,Dy SP Malappuram,,17032,9497990177,,0483,2734926,,,,
CATEGORY,,SPL. BRANCH MALAPPURAM RANGE ,SBI Malappuram(Perinthalmanna),,17032,9497987250,,0483,2734926,,,,
CATEGORY,,SPL. BRANCH KOZHIKODE RANGE ,SP,,17033,9497996955,,0495,2725393,,,,
CATEGORY,,SPL. BRANCH KOZHIKODE RANGE ,Dy SP Int Sec,,17033,9497990179,,0495 ,2725393,,,,
CATEGORY,,SPL. BRANCH KOZHIKODE RANGE ,BDDS KKD Range,,17033,9497987475,,0495,2725393,,,,
CATEGORY,,SPL. BRANCH KOZHIKODE RANGE ,Chief Reporter (Inspector),,17033,94979 76055,,0495 ,2725393,,,,
CATEGORY,,SPL. BRANCH KOZHIKODE RANGE ,Senior superintendent,,17033,94979 65358,,0495 ,2725393,,,,
CATEGORY,,SPL. BRANCH KOZHIKODE RANGE ,Dy SP KKD City Dett,,17035,94979 90178,,0495 ,2724433,,,,
CATEGORY,,SPL. BRANCH KOZHIKODE RANGE ,DySP KKD Rural Dett,,17036,94979 90181,,0496 ,2522999,,,,
CATEGORY,,SPL. BRANCH KOZHIKODE RANGE ,SBI KKD Rural,,17036,94979 87251,,0496 ,2522999,,,,
CATEGORY,,SPL. BRANCH KANNUR RANGE ,DySP Kannur Dett,,17037,94979 90183,,0497 ,2700575,,,,
CATEGORY,,SPL. BRANCH KANNUR RANGE ,SBI Kannur Dett(Tellicherry),,17037,94979 87252,,0497 ,2700575,,,,
CATEGORY,,SPL. BRANCH KANNUR RANGE ,SBI Kannur,,17037,94979 87253,,0497,2700575,,,,
CATEGORY,,SPL. BRANCH WAYANAD RANGE ,Dy SP Wayanad Dett.,,17038,94979 90182,,04936,202523,,,,
CATEGORY,,SPL. BRANCH KASARGOD RANGE ,Dy SP Kasaragod Dett,,17039,94979 90184,,04994 ,257529,,,,
CATEGORY,,SPL. BRANCH KASARGOD RANGE ,SBI Kasaragod,,17039,94979 87254,,04994 ,257529,,,,
CATEGORY,,State Police Commando Wing,State Police Commando Wing,,,94979 65466,,,,,,,
CATEGORY,,"Police Training College,Thycaud, Trivandrum",Party Commander,,,94979 81194,,,,,,,
CATEGORY,CRIME BRANCH ,,ADGP [Crime Branch],,17200,94979 99995,,0471,2722215,,2720255,,
CATEGORY,,,SP CB [HQ],,17207,94979 96953,,0471,2720007,,2720007,,
CATEGORY,,,Dy SP Admn,,17203,94979 90185,,0471,2720109,,,,
CATEGORY,,,Dy SP(Staff Officer to ADGP),,17204,94979 90193,,0471,2720008,,,,
CATEGORY,,,Dy SP CB HQ,,17208,94979 90219,,0471,2722214,,,,
CATEGORY,,,DI CB HQ,,,9497987271,,,,,,,
CATEGORY,,,MTI CBCID HQ,,,94979 81036,,,,,,,
CATEGORY,,,AA/Office,,17201,94979 65299,,0471 ,2720005,,,,
CATEGORY,,,Duty Office,,,,,0471,2720109,,,,
CATEGORY,,,Hi -Tech Cell AC,,,9497900468,,0471,2721547,,,,
CATEGORY,,Thiruvananthapuram Range,IGP,,17206,94979 99988,,0471,2319787,,,,
CATEGORY,,Thiruvananthapuram Range,Dy SP,,,94979 90189,,,,,,,
CATEGORY,,"Crime branch central unit - I,TVPM",SP ,,17300,94979 96951,,0471,2460001,,,,
CATEGORY,,"Crime branch central unit - I,TVPM",Dy SP,,,94979 81083,,,,,,,
CATEGORY,,"Crime branch central unit - I,TVPM",DI - I,,,94979 01501,,,,,,,
CATEGORY,,"Crime branch central unit - I,TVPM",DI - II,,,  94979 87962   ,,,,,,,
CATEGORY,,"Crime branch central unit - IV, TVPM",SP ,,17302,94979 81040,,0471,2474471,,,,
CATEGORY,,"Crime branch central unit - IV, TVPM",Dy SP,,,94979 90342,,0471,2475355,,,,
CATEGORY,,"Crime branch central unit - IV, TVPM",DI - I,,,9497965462,,,,,,,
CATEGORY,,"Crime branch central unit - IV, TVPM",DI - II,,,9497965460,,,,,,,
CATEGORY,,"Crime branch central unit - IV, TVPM",Duty Office,,,,,0471,2475465,,,,
CATEGORY,,Crime Branch Tvpm Unit,SP ,,17305,94979 94952,,0471,2310823,,,,
CATEGORY,,Crime Branch Tvpm Unit,Dy SP- 1,,,9497990186,,0471,2310823,,,,
CATEGORY,,Crime Branch Tvpm Unit,Dy SP - 2 ,,,9497990192,,,,,,,
CATEGORY,,Crime Branch Tvpm Unit,Dy SP - 3,,,9497964831,,,,,,,
CATEGORY,,Crime Branch KLM Unit,SP,,,94979 96950,,,,,,,
CATEGORY,,Crime Branch KLM Unit,Dy SP- 1,,19095,9497990195,,0474,2749360,,,,
CATEGORY,,Crime Branch KLM Unit,Dy SP - 2,,,9497901511,,0474,2766251,,,,
CATEGORY,,Crime Branch KLM Unit,Dy SP - 3 ,,,9497990206,,0474,274289,,,,
CATEGORY,,Crime Branch KLM Unit,Duty Office,,17306,,,0474 ,2745399,,,,
CATEGORY,,Crime Branch PTA Unit,SP ,,,94979 96950,,,,,,,
CATEGORY,,Crime Branch PTA Unit,Dy SP,,,9497990200,,,,,,,
CATEGORY,,Crime Branch PTA Unit,DI - 1 ,,,9497987278,,,,,,,
CATEGORY,,Crime Branch PTA Unit,DI - 2 ,,,9497987273,,,,,,,
CATEGORY,,Crime Branch PTA Unit,DI - 3,,,9497987267,,,,,,,
CATEGORY,,Crime Branch ALPY Unit,SP,,,9497981037,,,,,,,
CATEGORY,,Crime Branch ALPY Unit,Dy SP- 1,,,9497990196,,,,,,,
CATEGORY,,Crime Branch ALPY Unit,Dy SP - 2 ,,,9497901530,,,,,,,
CATEGORY,,Crime Branch ALPY Unit,DI - 1,,,9497987274,,,,,,,
CATEGORY,,Crime Branch ALPY Unit,DI - 2,,,9497987259,,,,,,,
CATEGORY,,Crime Branch ALPY Unit,DI - 3,,,9497987264,,,,,,,
CATEGORY,,Crime Branch ALPY Unit,Duty Office,,,,,0477,2239098,,,,
CATEGORY,,Crime Branch KTYM Unit,SP ,,17310,94979 96947,,0481,2563005,,,,
CATEGORY,,Crime Branch KTYM Unit,Dy SP- 1,,,9497990197,,0481,2562050,,,,
CATEGORY,,Crime Branch KTYM Unit,Dy SP - 2,,,9497990201,,0481,2560260,,,,
CATEGORY,,Crime Branch KTYM Unit,Dy SP - 3 ,,,9497990203,,0481,2582005,,,,
CATEGORY,,"Crime branch , Idukki",SP ,,13313,94979 96949,,0486,2223983,,,,
CATEGORY,,"Crime branch , Idukki",Dy SP- 1,,,9497987289,,,,,,,
CATEGORY,,"Crime branch , Idukki",Dy SP - 2,,,9497990204,,,,,,,
CATEGORY,,"Crime branch , Idukki",DI - 1,,,9497987288,,,,,,,
CATEGORY,,Ernakulam  Range,IGP ,,,94979 99988    ,,,,,,,
CATEGORY,,Ernakulam  Range,Dy SP,,17401,94979 90191,,0484,2779638,,,,
CATEGORY,,"Crime Branch Central Unit - iI,EKM",SP ,,,94979 96911,,0484 ,2785250,,,,
CATEGORY,,"Crime Branch Central Unit - iI,EKM",Dy SP ,,,94979 90187,,,,,,,
CATEGORY,,"Crime Branch Central Unit - iI,EKM",DI - I,,,94979 01514                             ,,,,,,,
CATEGORY,,"Crime Branch Central Unit - iI,EKM",DI - II,,,94979 87291,,,,,,,
CATEGORY,,"Crime Branch , Ernakulam",SP ,,,94979 96946,,0484,2551158,,,,
CATEGORY,,"Crime Branch , Ernakulam",Dy SP- 1,,,9497990702,,0484,2555568,,,,
CATEGORY,,"Crime Branch , Ernakulam",Dy SP - 2 ,,,9497990205,,0484,2551156,,,,
CATEGORY,,"Crime Branch , Ernakulam",Dy SP - 3 ,,,9497990199,,,,,,,
CATEGORY,,"Crime Branch , Thrissur",SP ,,,9497996948,,,,,,,
CATEGORY,,"Crime Branch , Thrissur",Dy SP- 1,,,9497990208,,,                          ,,,,
CATEGORY,,"Crime Branch , Thrissur",Dy SP - 2 ,,,9497990194,,,,,,,
CATEGORY,,"Crime Branch , Thrissur",DI - 1,,,9497987295,,,,,,,
CATEGORY,,"Crime Branch , Thrissur",DI - 2,,,9497987284,,,,,,,
CATEGORY,,"Crime Branch , Thrissur",Duty Office ,,,,,0487,2334410,,,,
CATEGORY,,"Crime Branch ,Palakkad",SP ,,17409,94979 96945,,0491,2537071,,,,
CATEGORY,,"Crime Branch ,Palakkad",Dy SP- 1,,19103,9497990210,,0491,2502746,,,,
CATEGORY,,"Crime Branch ,Palakkad", Dy SP - 2 ,,,9497990209,,0491,2537030,,,,
CATEGORY,,"Crime Branch ,Palakkad",Dy SP - 3 ,,,9497990214,,0491,2537070,,,,
CATEGORY,,Crime Branch MLPM Unit,SP ,,,9497996913,,,,,,,
CATEGORY,,Crime Branch MLPM Unit,Dy SP- 1,,,9497990202,,,,,,,
CATEGORY,,Crime Branch MLPM Unit,Dy SP - 2,,,9497990211,,0483,2734867,,,,
CATEGORY,,Crime Branch MLPM Unit,DI - 1,,,9497987305,,,,,,,
CATEGORY,,Crime Branch MLPM Unit,DI - 2,,,9497987307,,,,,,,
CATEGORY,,Crime Branch MLPM Unit,DI - 3,,,9497987296,,,,,,,
CATEGORY,,Crime Branch MLPM Unit,DI - 4,,,9497987297,,,,,,,
CATEGORY,,Kozhikode  Range,IGP ,,17504,94979 99988,,0495,2725105,,,,
CATEGORY,,Kozhikode  Range,Dy SP,,17507,94979 87304,,0495,2725107,,,,
CATEGORY,,"Crime branch central unit - III,KKD",SP ,,,94979 96943,,0495 ,2725106,,,,
CATEGORY,,"Crime branch central unit - III,KKD",Dy SP,,,94979 01512,,0495,2724201,,,,
CATEGORY,,"Crime branch central unit - III,KKD",DI - I,,,94979 01513,,,,,,,
CATEGORY,,Crime branch Kozhikode,SP,,17500,94979 96944,,0495,2725157,,,,
CATEGORY,,Crime branch Kozhikode,Dy SP- 1,,,9497990212,,0495,2725156,,,,
CATEGORY,,Crime branch Kozhikode,Dy SP - 2 ,,,9497990217,,,,,,,
CATEGORY,,"Crime branch , wayanad",SP ,,,94979 96944,,,,,,,
CATEGORY,,"Crime branch , wayanad",Dy SP,,,9497990213,,04935,245273,,,,
CATEGORY,,"Crime branch , wayanad",DI - 1,,,9497987301,,,,,,,
CATEGORY,,"Crime branch , wayanad",DI - 2,,,9497981074,,,,,,,
CATEGORY,,"Crime branch , wayanad",DI - 3,,,9497491549,,,,,,,
CATEGORY,,"Crime branch , Kannur",SP ,,17508,94979 96942,,0497,2705079,,,,
CATEGORY,,"Crime branch , Kannur",Dy SP- 1,,,9497990220,,,,,,,
CATEGORY,,"Crime branch , Kannur",Dy SP - 2 ,,,9497990215,,0497,2763930,,,,
CATEGORY,,"Crime branch , Kannur",Dy SP - 3,,,9497990218,,0497,2783336,,,,
CATEGORY,,"Crime Branch , Kasaragod",SP ,,,94979 96942,,,,,,,
CATEGORY,,"Crime Branch , Kasaragod",Dy SP,,,9497990221,,04994,257831,,,,
CATEGORY,,"Crime Branch , Kasaragod",DI - 1 ,,,9497987314,,,,,,,
CATEGORY,,"Crime Branch , Kasaragod",DI - 2 ,,,9497987312,,,,,,,
CATEGORY,,"Crime Branch , Kasaragod",DI - 3,,,9497981079,,,,,,,
CATEGORY,Cyber Police station,,Dy SP [SHO],,,94979 90188,,0471,2322090,,,,
CATEGORY,Cyber Police station,,DI - 1,,,9497901500    ,,,,,,,
CATEGORY,Cyber Police station,,DI - 2,,,9497991499 ,,,,,,,
CATEGORY,Cyber Police station,,DI - 3 ,,,9497991497,,,,,,,
CATEGORY,Cyber Police station,,DI - 4,,,9497991498,,,,,,,
CATEGORY,STATE CRIME RECORDS BUREAU,,Director & ADGP [SCRB],,17600,94979 97997 ,,0471 ,2446522,,2446522,,
CATEGORY,STATE CRIME RECORDS BUREAU,,SP SCRB,,17601,94979 96924 ,,0471,2441656,,,,
CATEGORY,STATE CRIME RECORDS BUREAU,,SP ICT,,17602,94979 96923,,0471,2445965,,,,
CATEGORY,STATE CRIME RECORDS BUREAU,,System Analyst/PM,,17603,94979 65392,,0471 ,2556229,,,,
CATEGORY,STATE CRIME RECORDS BUREAU,,Dy SP SCRB,,17604,94979 90223,,0471,2556179,,,,
